Ticker,Company,Currency,Currency_Name,Last Update
MGM,MGM Resorts,USD,US Dollar,
MCHP,Microchip Technology,USD,US Dollar,
MU,Micron Technology,USD,US Dollar,
MSFT,Microsoft,USD,US Dollar,
MAA,Mid-America Apartment Communities,USD,US Dollar,
MRNA,Moderna,USD,US Dollar,
MHK,Mohawk Industries,USD,US Dollar,
MOH,Molina Healthcare,USD,US Dollar,
TAP,Molson Coors Beverage Company,USD,US Dollar,
MDLZ,Mondelez International,USD,US Dollar,
MPWR,Monolithic Power Systems,USD,US Dollar,
MNST,Monster Beverage,USD,US Dollar,
MCO,Moody's Corporation,USD,US Dollar,
MS,Morgan Stanley,USD,US Dollar,
MOS,The Mosaic Company,USD,US Dollar,
MSI,Motorola Solutions,USD,US Dollar,
MSCI,MSCI,USD,US Dollar,
NDAQ,"Nasdaq, Inc.",USD,US Dollar,
NTAP,NetApp,USD,US Dollar,
NFLX,Netflix,USD,US Dollar,
NWL,Newell Brands,USD,US Dollar,
NEM,Newmont,USD,US Dollar,
NWSA,News Corp (Class A),USD,US Dollar,
NWS,News Corp (Class B),USD,US Dollar,
NEE,NextEra Energy,USD,US Dollar,
NLSN,Nielsen Holdings,USD,US Dollar,
NKE,"Nike, Inc.",USD,US Dollar,
NI,NiSource,USD,US Dollar,
NDSN,Nordson Corporation,USD,US Dollar,
NSC,Norfolk Southern Railway,USD,US Dollar,
NTRS,Northern Trust,USD,US Dollar,
NOC,Northrop Grumman,USD,US Dollar,
NLOK,NortonLifeLock,USD,US Dollar,
NCLH,Norwegian Cruise Line Holdings,USD,US Dollar,
NRG,NRG Energy,USD,US Dollar,
NUE,Nucor,USD,US Dollar,
NVDA,Nvidia,USD,US Dollar,
NVR,"NVR, Inc.",USD,US Dollar,
NXPI,NXP Semiconductors,EUR,Euro,
ORLY,O'Reilly Auto Parts,USD,US Dollar,
OXY,Occidental Petroleum,USD,US Dollar,
ODFL,Old Dominion,USD,US Dollar,
OMC,Omnicom Group,USD,US Dollar,
ON,ON Semiconductor,USD,US Dollar,
OKE,Oneok,USD,US Dollar,
ORCL,Oracle Corporation,USD,US Dollar,
OGN,Organon & Co.,USD,US Dollar,
OTIS,Otis Worldwide,USD,US Dollar,
PCAR,Paccar,USD,US Dollar,
PKG,Packaging Corporation of America,USD,US Dollar,
PARA,Paramount Global,USD,US Dollar,
PH,Parker Hannifin,USD,US Dollar,
PAYX,Paychex,USD,US Dollar,
PAYC,Paycom,USD,US Dollar,
PYPL,PayPal,USD,US Dollar,
PENN,Penn National Gaming,USD,US Dollar,
PNR,Pentair,GBP,British Pound,
PEP,PepsiCo,USD,US Dollar,
PKI,PerkinElmer,USD,US Dollar,
PFE,Pfizer,USD,US Dollar,
PM,Philip Morris International,USD,US Dollar,
PSX,Phillips 66,USD,US Dollar,
PNW,Pinnacle West,USD,US Dollar,
PXD,Pioneer Natural Resources,USD,US Dollar,
PNC,PNC Financial Services,USD,US Dollar,
POOL,Pool Corporation,USD,US Dollar,
PPG,PPG Industries,USD,US Dollar,
PPL,PPL Corporation,USD,US Dollar,
PFG,Principal Financial Group,USD,US Dollar,
PG,Procter & Gamble,USD,US Dollar,
PGR,Progressive Corporation,USD,US Dollar,
PLD,Prologis,USD,US Dollar,
PRU,Prudential Financial,USD,US Dollar,
PEG,Public Service Enterprise Group,USD,US Dollar,
PTC,PTC,USD,US Dollar,
PSA,Public Storage,USD,US Dollar,
PHM,PulteGroup,USD,US Dollar,
PVH,PVH,USD,US Dollar,
QRVO,Qorvo,USD,US Dollar,
PWR,Quanta Services,USD,US Dollar,
QCOM,Qualcomm,USD,US Dollar,
DGX,Quest Diagnostics,USD,US Dollar,
RL,Ralph Lauren Corporation,USD,US Dollar,
RJF,Raymond James,USD,US Dollar,
RTX,Raytheon Technologies,USD,US Dollar,
O,Realty Income,USD,US Dollar,
REG,Regency Centers,USD,US Dollar,
REGN,Regeneron,USD,US Dollar,
RF,Regions Financial Corporation,USD,US Dollar,
RSG,Republic Services,USD,US Dollar,
RMD,ResMed,USD,US Dollar,
RHI,Robert Half,USD,US Dollar,
ROK,Rockwell Automation,USD,US Dollar,
ROL,"Rollins, Inc.",USD,US Dollar,
ROP,Roper Technologies,USD,US Dollar,
ROST,Ross Stores,USD,US Dollar,
RCL,Royal Caribbean Group,USD,US Dollar,
SPGI,S&P Global,USD,US Dollar,
CRM,Salesforce,USD,US Dollar,
SBAC,SBA Communications,USD,US Dollar,
SLB,Schlumberger,EUR,Euro,
STX,Seagate Technology,EUR,Euro,
SEE,Sealed Air,USD,US Dollar,
SRE,Sempra Energy,USD,US Dollar,
NOW,ServiceNow,USD,US Dollar,
SHW,Sherwin-Williams,USD,US Dollar,
SBNY,Signature Bank,USD,US Dollar,
SPG,Simon Property Group,USD,US Dollar,
SWKS,Skyworks Solutions,USD,US Dollar,
SJM,The J.M. Smucker Company,USD,US Dollar,
SNA,Snap-on,USD,US Dollar,
SEDG,SolarEdge,USD,US Dollar,
SO,Southern Company,USD,US Dollar,
LUV,Southwest Airlines,USD,US Dollar,
SWK,Stanley Black & Decker,USD,US Dollar,
SBUX,Starbucks,USD,US Dollar,
STT,State Street Corporation,USD,US Dollar,
STE,Steris,EUR,Euro,
SYK,Stryker Corporation,USD,US Dollar,
SIVB,SVB Financial,USD,US Dollar,
SYF,Synchrony Financial,USD,US Dollar,
SNPS,Synopsys,USD,US Dollar,
SYY,Sysco,USD,US Dollar,
TMUS,T-Mobile US,USD,US Dollar,
TROW,T. Rowe Price,USD,US Dollar,
TTWO,Take-Two Interactive,USD,US Dollar,
TPR,"Tapestry, Inc.",USD,US Dollar,
TGT,Target Corporation,USD,US Dollar,
TEL,TE Connectivity,CHf,Swiss franc,
TDY,Teledyne Technologies,USD,US Dollar,
TFX,Teleflex,USD,US Dollar,
TER,Teradyne,USD,US Dollar,
TSLA,"Tesla, Inc.",USD,US Dollar,
