Currency Name,Market Name,Bittrex Pair,Binance Pair,Market,Last Update
Sushi,Tether,USDT-SUSHI,SUSHIUSDT,USDT,
BarnBridge,Tether,USDT-BOND,BONDUSDT,USDT,
Horizen,Tether,USDT-ZEN,ZENUSDT,USDT,
Dusk Network,Tether,USDT-DUSK,DUSKUSDT,USDT,
Jasmy,Ethereum,ETH-JASMY,JASMYETH,ETH,
Terra,Ethereum,ETH-LUNA,LUNAETH,ETH,
Verge,Ethereum,ETH-XVG,XVGETH,ETH,
VeChain,Ethereum,ETH-VET,VETETH,ETH,
API3,Tether,USDT-API3,API3USDT,USDT,
Frax Share,Tether,USDT-FXS,FXSUSDT,USDT,
SAND,Bitcoin,BTC-SAND,SANDBTC,BTC,
Flux Network,Tether,USDT-FLUX,FLUXUSDT,USDT,
GoMining Token,Tether,USDT-GMT,GMTUSDT,USDT,
SysCoin,Tether,USDT-SYS,SYSUSDT,USDT,
Ethereum Name Service,Tether,USDT-ENS,ENSUSDT,USDT,
Alien Worlds,Tether,USDT-TLM,TLMUSDT,USDT,
Livepeer,Tether,USDT-LPT,LPTUSDT,USDT,
PlayDapp,Bitcoin,BTC-PLA,PLABTC,BTC,
PlayDapp,Tether,USDT-PLA,PLAUSDT,USDT,
Render Token,Tether,USDT-RNDR,RNDRUSDT,USDT,
Firo,Tether,USDT-FIRO,FIROUSDT,USDT,
Bitcoin,USD Coin,USDC-BTC,BTCUSDC,USDC,
Fantom,Tether,USDT-FTM,FTMUSDT,USDT,
ApeCoin,Tether,USDT-APE,APEUSDT,USDT,
Ethereum,USD Coin,USDC-ETH,ETHUSDC,USDC,
